地区,品牌,数量
上海 ,倍思（baseus）,10
上海 ,倍晶,11
上海 ,倪尓克,11
上海 ,倾尚,11
上海 ,倾驰（qingchi）,11
上海 ,光米,10
上海 ,克诺欧kenuoou,11
上海 ,克雷盾（keleidun）,106
上海 ,兵宏,10
上海 ,其他,992
上海 ,其他品牌,775
上海 ,其它,93
上海 ,其它品牌,11
上海 ,冉易（ranyi）,22
上海 ,冠兴,10
上海 ,冰尊,11
上海 ,净也jingye,11
上海 ,凌度,11
上海 ,凡盾,22
上海 ,凯伦猫,11
上海 ,凯聪,10
上海 ,利方琪lifangqi,22
上海 ,刺勋（cixun）,11
上海 ,力迪曼lidiman,11
上海 ,努比亚,43
上海 ,努比亚x,11
上海 ,努比亚红魔,11
上海 ,努比亚（nubia）,31
上海 ,劳弗（laofu）,11
上海 ,北府,33
上海 ,千寒,22
上海 ,卉之萱,11
上海 ,华为,214
上海 ,华为huawei,22
上海 ,华为（huawei）,1557
上海 ,华柯楼,11
上海 ,华饰,22
上海 ,卓慕薇,11
上海 ,卓昇（zhuosheng）,10
上海 ,卓美（zomei）,22
上海 ,博雅boya,10
上海 ,卡伦顿（karenburtonkb）,11
上海 ,卡冰莉（kabingli）,20
上海 ,卡古驰,10
上海 ,卡弗拉,98
上海 ,卡斯兰,10
上海 ,卡汐沐,11
上海 ,卡泽威kazewei,11
上海 ,卡贝罗（kabelluo）,43
上海 ,原始人（theprimitive）,10
上海 ,叁缔时代（candyshidy）,11
上海 ,双鱼,11
上海 ,发威猫,11
上海 ,古尚派,10
上海 ,召召木木（ccmumu）,10
上海 ,台基,10
上海 ,叶梦丝yemengsi,300
上海 ,司博威spovan,44
上海 ,合信源（hexinyuan）,11
上海 ,吉米兔（jimmytu）,11
上海 ,吉艺鹿,21
上海 ,向益昕（xiangyixin）,11
上海 ,咕咕爱,11
上海 ,品胜,11
上海 ,哇塞牛（wasainiu）,11
上海 ,哥姿秀（gezixiu）,11
上海 ,哮天虎（xiaotianhu）,11
上海 ,圣力欧（sxleou）,22
上海 ,圳钻（zhenzuan),11
上海 ,坚果/微果,11
上海 ,墅·夏,11
上海 ,墨一,11
上海 ,墨迪（muedy）,11
上海 ,士威,11
上海 ,壳工坊,11
上海 ,夏新amoi,10
上海 ,夏普,10
上海 ,夏腾,21
上海 ,多靓duoliang,11
上海 ,天语（k-touch）,22
上海 ,夷希微,11
上海 ,奇声qisheng,40
上海 ,奇略,11
上海 ,奇酷,10
上海 ,奇酷360n4,10
上海 ,奔创,11
上海 ,奥凯罗,11
上海 ,奥古者(aoguzhe),11
上海 ,奥古者aoguzhe,44
上海 ,奥多金,55
上海 ,奥林丹顿（olymdanton）,11
上海 ,奴玛尼（nuani）,10
上海 ,威景,11
上海 ,威视朗,22
上海 ,威骆（weiluo）,11
上海 ,娱浪,22
上海 ,孜淑zishu,141
