年龄段,手机型号,销量
[30~34],romsion,96
50岁以上,飞利浦,96
[18~24],蓥峰,96
[18~24],huawei/华为,96
[18~24],享动,96
[18~24],新科shinco,95
18岁以下,联想,95
[18~24],惠舟,95
18岁以下,旺驰wangchi,95
[18~24],邦克仕/benks,95
[18~24],名樱,95
[40~49],尚尚签,94
50岁以上,小米（mi）,94
[18~24],优内特,94
[18~24],华硕（asus）,94
[40~49],魅族（meizu）,94
18岁以下,雷锤,94
[25~29],华为荣耀,94
18岁以下,努比亚,94
[18~24],康佳（konka）,94
[18~24],家柏饰corated,94
[25~29],索文,94
[18~24],glocalme,94
[25~29],摩古（mougol）,93
[18~24],飞天壳,93
[25~29],机诺基,93
18岁以下,jdhdl,92
[25~29],辉航huihang,91
[18~24],蒂卡黛dikadai,91
[18~24],奥多金（atooking）,91
[40~49],郎太轩琦langtaixuanqi,90
[30~34],戴霸daiba,90
[18~24],潮凌,89
[35~39],戴霸daiba,89
[30~34],翌玉庭,88
[18~24],蜀辉,88
[18~24],三头马（santouma）,88
[30~34],司博威spovan,88
[18~24],康维奴kangweinu,88
[35~39],conwhd,88
[18~24],从芊,88
[18~24],卡汐沐,88
[25~29],fghgf,88
[25~29],舒沃shuwo,88
[30~34],金立,88
[25~29],瑜维晟,88
[18~24],新什也,88
[18~24],紫风铃,88
[18~24],车菊草,88
[18~24],路探,88
[18~24],diffrx,88
[35~39],索爱（soaiy）,88
[18~24],李绅,88
[18~24],artbird,88
[18~24],欧维沃（ouweiwo）,88
[18~24],久任（jiuren）,88
[25~29],东烁,87
[18~24],索尼(sony),87
[25~29],枳记家,87
[18~24],威景,87
[18~24],虎图腾,87
[30~34],trendsetter,87
[40~49],努比亚（nubia）,87
[18~24],philips飞利浦,87
[18~24],肯捷kenjie,87
[25~29],弗雷德,87
[18~24],无所争,87
[18~24],杞沐,87
[18~24],梵帝西诺,87
[30~34],雀米,87
[18~24],格兴（gexing）,87
[40~49],联伸锦,87
[18~24],sugar,87
[25~29],海尔,87
[30~34],倍克贝克,87
[30~34],联想（lenovo）,86
[18~24],波导（bird）,86
[18~24],beibi,86
[30~34],索文,86
[25~29],其它品牌,86
[18~24],羊群,86
[25~29],飞花令,86
[25~29],闪森（shansen）,86
[25~29],美图,86
[18~24],金博世家（kingbosie）,86
[18~24],奔肯,86
[18~24],必齐（biqi）,86
[30~34],克雷盾（keleidun）,86
[18~24],菱竹,86
[18~24],摩米士（momax）,85
[18~24],泛音,85
[18~24],华硕,85
[25~29],美佰（meibai）,85
[18~24],乐贝姿（lebeizi）,85
[18~24],10670336,85
[40~49],克雷盾（keleidun）,85
[30~34],索尼（sony）,85
[25~29],派卡仕（pecas）,85
[18~24],海信,85
[25~29],米邑,85
[40~49],0,85
[18~24],陌绣锦,85
[18~24],609742,85
[18~24],每度,85
[40~49],雷锤,84
[18~24],暖芬nuanfen,84
[18~24],春枝韵,84
[30~34],卡弗拉,84
[18~24],维肯,84
[18~24],宝丽音（polaying）,84
[18~24],遇特利（yuteli）,84
[18~24],睿亚,84
[18~24],dianhu,83
18岁以下,戴为,83
[18~24],cat,83
[18~24],驹傲,83
[18~24],克里特（kreta）,83
18岁以下,长虹（changhong）,83
[40~49],汉牌,83
[18~24],莫尼森（moreisan）,82
[18~24],倍思（baseus）,82
[18~24],靓无缺,82
[18~24],奥林丹顿（olymdanton）,82
[35~39],膜思维,82
[40~49],花之家,82
[18~24],象葱白,82
18岁以下,至配（zeipei）,82
[18~24],电狐（dianhu）,81
18岁以下,酷派（coolpad）,81
[18~24],小寻,81
[25~29],英顿inton,81
[18~24],卡登高（kadenggao）,81
18岁以下,紊婳轩,81
50岁以上,孜淑zishu,80
18岁以下,etuud,80
[18~24],标配版高配版尊享版移动版联通版电信版/屏幕指纹版i,80
[25~29],no2image,80
[18~24],伊姿蝶原创,80
50岁以上,戴霸daiba,80
[18~24],莎纤韵shaqianyun,80
[18~24],淘科,80
[18~24],bova,79
18岁以下,摩托罗拉,79
[18~24],永德吉,79
